,NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR
2352,IGUATEMI 6,5000215.0,33.497.660/0141-39,EM FUNCIONAMENTO,09/04/2021,20/12/1996,138.0,4.0,1.0,1.0,SIM,NÃO,SIM,CINEMA BOULEVARD RIO,2425,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,RUA BARÃO DE SÃO FRANCISCO,236.0,LJ 301,VILA ISABEL,RIO DE JANEIRO,20560-030,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
2353,IGUATEMI 7,5000216.0,33.497.660/0141-39,EM FUNCIONAMENTO,09/04/2021,20/12/1996,117.0,4.0,1.0,1.0,SIM,NÃO,SIM,CINEMA BOULEVARD RIO,2425,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,RUA BARÃO DE SÃO FRANCISCO,236.0,LJ 301,VILA ISABEL,RIO DE JANEIRO,20560-030,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
2631,CINE REGÊNCIA,5001147.0,33.836.990/0001-51,EM FUNCIONAMENTO,30/04/1996,30/04/1996,200.0,1.0,1.0,1.0,NÃO,NÃO,SIM,CINEMAS RIVER - CASCADURA,6719,EM FUNCIONAMENTO,04/05/2004,HTTP://WWW.CINEMASTAR.COM.BR,AV.ERNANI CARDOSO,52.0,,CASCADURA,RIO DE JANEIRO,21310-310,RJ,NÃO,NÃO COMERCIAL,CINEMAS RIVER LTDA,1981,33.836.990/0001-51,IRREGULAR,NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
3117,CINESYSTEM BOTAFOGO SALA 01,5007160.0,15.422.993/0024-53,EM FUNCIONAMENTO,01/05/2024,01/05/2024,152.0,2.0,2.0,1.0,SIM,SIM,NÃO,CINESYSTEM BOTAFOGO,58568,EM FUNCIONAMENTO,01/05/2024,www.cinesystem.com.br,PRAIA DO BOTAFOGO,316.0,,BOTAFOGO,RIO DE JANEIRO,22250-040,RJ,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
3118,CINESYSTEM BOTAFOGO SALA 02,5007161.0,15.422.993/0024-53,EM FUNCIONAMENTO,01/05/2024,01/05/2024,126.0,2.0,2.0,1.0,SIM,SIM,NÃO,CINESYSTEM BOTAFOGO,58568,EM FUNCIONAMENTO,01/05/2024,www.cinesystem.com.br,PRAIA DO BOTAFOGO,316.0,,BOTAFOGO,RIO DE JANEIRO,22250-040,RJ,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
3119,CINESYSTEM BOTAFOGO SALA 03,5007162.0,15.422.993/0024-53,EM FUNCIONAMENTO,01/05/2024,01/05/2024,102.0,2.0,2.0,1.0,SIM,SIM,NÃO,CINESYSTEM BOTAFOGO,58568,EM FUNCIONAMENTO,01/05/2024,www.cinesystem.com.br,PRAIA DO BOTAFOGO,316.0,,BOTAFOGO,RIO DE JANEIRO,22250-040,RJ,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
3120,CINESYSTEM BOTAFOGO SALA 04,5007163.0,15.422.993/0024-53,EM FUNCIONAMENTO,01/05/2024,01/05/2024,167.0,2.0,2.0,1.0,SIM,SIM,NÃO,CINESYSTEM BOTAFOGO,58568,EM FUNCIONAMENTO,01/05/2024,www.cinesystem.com.br,PRAIA DO BOTAFOGO,316.0,,BOTAFOGO,RIO DE JANEIRO,22250-040,RJ,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
3121,CINESYSTEM BOTAFOGO SALA 05,5007164.0,15.422.993/0024-53,EM FUNCIONAMENTO,01/05/2024,01/05/2024,138.0,2.0,2.0,1.0,SIM,SIM,NÃO,CINESYSTEM BOTAFOGO,58568,EM FUNCIONAMENTO,01/05/2024,www.cinesystem.com.br,PRAIA DO BOTAFOGO,316.0,,BOTAFOGO,RIO DE JANEIRO,22250-040,RJ,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
3122,CINESYSTEM BOTAFOGO SALA 06,5007165.0,15.422.993/0024-53,EM FUNCIONAMENTO,01/05/2024,01/05/2024,255.0,4.0,4.0,2.0,SIM,SIM,NÃO,CINESYSTEM BOTAFOGO,58568,EM FUNCIONAMENTO,01/05/2024,www.cinesystem.com.br,PRAIA DO BOTAFOGO,316.0,,BOTAFOGO,RIO DE JANEIRO,22250-040,RJ,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
3541,CINÉPOLIS RIO DESIGN BARRA - SALA 01 TRADICIONAL,5006132.0,09.652.820/0060-92,EM FUNCIONAMENTO,27/05/2021,01/11/2018,158.0,4.0,1.0,1.0,SIM,NÃO,NÃO,CINÉPOLIS RIO DESIGN BARRA,41410,EM FUNCIONAMENTO,26/04/2021,cinepolis.com.br,AV DAS AMERICAS,7777.0,"SALAS 1, 3 e 3",BARRA DA TIJUCA,RIO DE JANEIRO,22793-081,RJ,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
