,NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR
4598,SALA KINOPLEX LEBLON GLOBOPLAY 1,5006824.0,33.497.660/0025-56,EM FUNCIONAMENTO,07/07/2022,21/06/2022,44.0,2.0,0.0,0.0,SIM,SIM,NÃO,KINOPLEX LEBLON GLOBOPLAY,51461,EM FUNCIONAMENTO,07/07/2022,, AV ATAULFO DE PAIVA ,391.0,,LEBLON,RIO DE JANEIRO,22440-032,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4599,SALA KINOPLEX LEBLON GLOBOPLAY 2,5006825.0,33.497.660/0025-56,EM FUNCIONAMENTO,07/07/2022,21/06/2022,67.0,2.0,0.0,0.0,SIM,SIM,NÃO,KINOPLEX LEBLON GLOBOPLAY,51461,EM FUNCIONAMENTO,07/07/2022,, AV ATAULFO DE PAIVA ,391.0,,LEBLON,RIO DE JANEIRO,22440-032,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4600,SALA KINOPLEX LEBLON GLOBOPLAY 3,5006826.0,33.497.660/0025-56,EM FUNCIONAMENTO,07/07/2022,21/06/2022,67.0,2.0,0.0,0.0,SIM,SIM,NÃO,KINOPLEX LEBLON GLOBOPLAY,51461,EM FUNCIONAMENTO,07/07/2022,, AV ATAULFO DE PAIVA ,391.0,,LEBLON,RIO DE JANEIRO,22440-032,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4607,SALA KINOPLEX MADUREIRA 01,5000061.0,33.497.660/0136-71,EM FUNCIONAMENTO,09/04/2021,15/01/1995,203.0,4.0,2.0,4.0,SIM,NÃO,SIM,KINOPLEX MADUREIRA,2389,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,ESTRADA DO PORTELA,222.0,LOJA 408,MADUREIRA,RIO DE JANEIRO,21351-051,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4608,SALA KINOPLEX MADUREIRA 02,5000062.0,33.497.660/0136-71,EM FUNCIONAMENTO,09/04/2021,15/01/1995,230.0,4.0,2.0,5.0,SIM,NÃO,SIM,KINOPLEX MADUREIRA,2389,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,ESTRADA DO PORTELA,222.0,LOJA 408,MADUREIRA,RIO DE JANEIRO,21351-051,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4609,SALA KINOPLEX MADUREIRA 03,5000063.0,33.497.660/0136-71,EM FUNCIONAMENTO,29/04/2021,15/01/1995,191.0,4.0,2.0,4.0,SIM,NÃO,SIM,KINOPLEX MADUREIRA,2389,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,ESTRADA DO PORTELA,222.0,LOJA 408,MADUREIRA,RIO DE JANEIRO,21351-051,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4610,SALA KINOPLEX MADUREIRA 04,5000064.0,33.497.660/0136-71,EM FUNCIONAMENTO,13/05/2021,15/01/1995,191.0,4.0,2.0,4.0,SIM,NÃO,SIM,KINOPLEX MADUREIRA,2389,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,ESTRADA DO PORTELA,222.0,LOJA 408,MADUREIRA,RIO DE JANEIRO,21351-051,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4611,SALA KINOPLEX MADUREIRA 05,5004268.0,33.497.660/0136-71,EM FUNCIONAMENTO,13/05/2021,21/06/2013,229.0,2.0,2.0,5.0,SIM,NÃO,SIM,KINOPLEX MADUREIRA,2389,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,ESTRADA DO PORTELA,222.0,LOJA 408,MADUREIRA,RIO DE JANEIRO,21351-051,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4612,KINOPLEX NOVA AMÉRICA SALA 01,5001957.0,33.497.660/0138-33,EM FUNCIONAMENTO,09/04/2021,15/11/1995,205.0,4.0,2.0,2.0,SIM,NÃO,SIM,KINOPLEX NOVA AMÉRICA,2426,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,AV. PASTOR MARTIN LUTHER KING JR,126.0,ESP COM. 81,DEL CASTILHO,RIO DE JANEIRO,20765-000,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4613,KINOPLEX NOVA AMÉRICA SALA 02,5001958.0,33.497.660/0138-33,EM FUNCIONAMENTO,29/04/2021,15/11/1995,144.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX NOVA AMÉRICA,2426,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,AV. PASTOR MARTIN LUTHER KING JR,126.0,ESP COM. 81,DEL CASTILHO,RIO DE JANEIRO,20765-000,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4614,KINOPLEX NOVA AMÉRICA SALA 03,5001959.0,33.497.660/0138-33,EM FUNCIONAMENTO,09/04/2021,15/11/1995,183.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX NOVA AMÉRICA,2426,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,AV. PASTOR MARTIN LUTHER KING JR,126.0,ESP COM. 81,DEL CASTILHO,RIO DE JANEIRO,20765-000,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4615,KINOPLEX NOVA AMÉRICA SALA 04,5001960.0,33.497.660/0138-33,EM FUNCIONAMENTO,09/04/2021,15/11/1995,152.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX NOVA AMÉRICA,2426,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,AV. PASTOR MARTIN LUTHER KING JR,126.0,ESP COM. 81,DEL CASTILHO,RIO DE JANEIRO,20765-000,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4616,KINOPLEX NOVA AMÉRICA SALA 05,5001961.0,33.497.660/0138-33,EM FUNCIONAMENTO,29/04/2021,15/11/1995,272.0,5.0,3.0,3.0,SIM,NÃO,SIM,KINOPLEX NOVA AMÉRICA,2426,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,AV. PASTOR MARTIN LUTHER KING JR,126.0,ESP COM. 81,DEL CASTILHO,RIO DE JANEIRO,20765-000,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4617,KINOPLEX NOVA AMÉRICA SALA 06,5001962.0,33.497.660/0138-33,EM FUNCIONAMENTO,29/04/2021,15/11/1995,307.0,6.0,3.0,4.0,SIM,NÃO,SIM,KINOPLEX NOVA AMÉRICA,2426,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,AV. PASTOR MARTIN LUTHER KING JR,126.0,ESP COM. 81,DEL CASTILHO,RIO DE JANEIRO,20765-000,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4618,KINOPLEX NOVA AMÉRICA SALA 07,5001963.0,33.497.660/0138-33,EM FUNCIONAMENTO,29/04/2021,15/11/1995,282.0,6.0,3.0,3.0,SIM,NÃO,SIM,KINOPLEX NOVA AMÉRICA,2426,EM FUNCIONAMENTO,09/04/2021,HTTP://WWW.KINOPLEX.COM.BR,AV. PASTOR MARTIN LUTHER KING JR,126.0,ESP COM. 81,DEL CASTILHO,RIO DE JANEIRO,20765-000,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4664,KINOPLEX RIO SUL - SALA KINOEVOLUTIUM 01,5000065.0,33.497.660/0018-27,EM FUNCIONAMENTO,09/04/2021,01/11/1993,157.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX RIO SUL,2390,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,RUA LAURO SODRÉ,445.0,"LJ 401, DC01",BOTAFOGO,RIO DE JANEIRO,22290-070,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4665,KINOPLEX RIO SUL - SALA KINOEVOLUTIUM 02,5000066.0,33.497.660/0018-27,EM FUNCIONAMENTO,09/04/2021,01/11/1993,197.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX RIO SUL,2390,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,RUA LAURO SODRÉ,445.0,"LJ 401, DC01",BOTAFOGO,RIO DE JANEIRO,22290-070,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4666,KINOPLEX RIO SUL - SALA PLATINUM 03,5000067.0,33.497.660/0018-27,EM FUNCIONAMENTO,09/04/2021,01/11/1993,112.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX RIO SUL,2390,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,RUA LAURO SODRÉ,445.0,"LJ 401, DC01",BOTAFOGO,RIO DE JANEIRO,22290-070,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4667,KINOPLEX RIO SUL - SALA PLATINUM 04,5000068.0,33.497.660/0018-27,EM FUNCIONAMENTO,09/04/2021,01/11/1993,101.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX RIO SUL,2390,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,RUA LAURO SODRÉ,445.0,"LJ 401, DC01",BOTAFOGO,RIO DE JANEIRO,22290-070,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4668,KINOPLEX RIO SUL - SALA PLATINUM 05,5005519.0,33.497.660/0018-27,EM FUNCIONAMENTO,09/04/2021,14/04/2016,105.0,3.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX RIO SUL,2390,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,RUA LAURO SODRÉ,445.0,"LJ 401, DC01",BOTAFOGO,RIO DE JANEIRO,22290-070,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4669,KINOPLEX RIO SUL - SALA PLATINUM 06,5005520.0,33.497.660/0018-27,EM FUNCIONAMENTO,09/04/2021,14/04/2016,101.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX RIO SUL,2390,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,RUA LAURO SODRÉ,445.0,"LJ 401, DC01",BOTAFOGO,RIO DE JANEIRO,22290-070,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4670,SÃO LUIZ 1,5000075.0,33.497.660/0106-56,EM FUNCIONAMENTO,15/04/2021,19/01/2001,144.0,3.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX SÃO LUIZ,2392,EM FUNCIONAMENTO,15/04/2021,HTTP://WWW.KINOPLEX.COM.BR,RUA DO CATETE,311.0,LJ 203 E 204,CATETE,RIO DE JANEIRO,22220-001,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4671,SÃO LUIZ 2,5000076.0,33.497.660/0106-56,EM FUNCIONAMENTO,15/04/2021,19/01/2001,262.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX SÃO LUIZ,2392,EM FUNCIONAMENTO,15/04/2021,HTTP://WWW.KINOPLEX.COM.BR,RUA DO CATETE,311.0,LJ 203 E 204,CATETE,RIO DE JANEIRO,22220-001,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4672,SÃO LUIZ 3,5000077.0,33.497.660/0106-56,EM FUNCIONAMENTO,15/04/2021,19/01/2001,271.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX SÃO LUIZ,2392,EM FUNCIONAMENTO,15/04/2021,HTTP://WWW.KINOPLEX.COM.BR,RUA DO CATETE,311.0,LJ 203 E 204,CATETE,RIO DE JANEIRO,22220-001,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4673,SÃO LUIZ 4,5000078.0,33.497.660/0106-56,EM FUNCIONAMENTO,15/04/2021,19/01/2001,152.0,3.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX SÃO LUIZ,2392,EM FUNCIONAMENTO,15/04/2021,HTTP://WWW.KINOPLEX.COM.BR,RUA DO CATETE,311.0,LJ 203 E 204,CATETE,RIO DE JANEIRO,22220-001,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4674,KINOPLEX TIJUCA SALA 01,5002176.0,08.262.566/0002-84,EM FUNCIONAMENTO,09/04/2021,29/08/2006,340.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX TIJUCA,13416,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AVENIDA MARACANÃ,987.0,PISO L 10 - SUC 10001,TIJUCA,RIO DE JANEIRO,20530-230,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4675,KINOPLEX TIJUCA SALA 02,5002175.0,08.262.566/0002-84,EM FUNCIONAMENTO,09/04/2021,29/08/2006,266.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX TIJUCA,13416,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AVENIDA MARACANÃ,987.0,PISO L 10 - SUC 10001,TIJUCA,RIO DE JANEIRO,20530-230,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4676,KINOPLEX TIJUCA SALA 03,5002177.0,08.262.566/0002-84,EM FUNCIONAMENTO,09/04/2021,29/08/2006,199.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX TIJUCA,13416,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AVENIDA MARACANÃ,987.0,PISO L 10 - SUC 10001,TIJUCA,RIO DE JANEIRO,20530-230,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4677,KINOPLEX TIJUCA SALA 04,5002178.0,08.262.566/0002-84,EM FUNCIONAMENTO,09/04/2021,25/01/2008,199.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX TIJUCA,13416,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AVENIDA MARACANÃ,987.0,PISO L 10 - SUC 10001,TIJUCA,RIO DE JANEIRO,20530-230,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4678,KINOPLEX TIJUCA SALA 05,5002179.0,08.262.566/0002-84,EM FUNCIONAMENTO,09/04/2021,29/08/2006,266.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX TIJUCA,13416,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AVENIDA MARACANÃ,987.0,PISO L 10 - SUC 10001,TIJUCA,RIO DE JANEIRO,20530-230,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4679,KINOPLEX TIJUCA SALA 06,5002180.0,08.262.566/0002-84,EM FUNCIONAMENTO,09/04/2021,29/08/2006,409.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX TIJUCA,13416,EM FUNCIONAMENTO,09/04/2021,www.kinoplex.com.br,AVENIDA MARACANÃ,987.0,PISO L 10 - SUC 10001,TIJUCA,RIO DE JANEIRO,20530-230,RJ,NÃO,COMERCIAL,SR RIO DE JANEIRO CINEMAS S/A,11751,08.262.566/0001-01,REGULAR,KINOPLEX
4696,KINOPLEX VIA PARQUE 1,5002197.0,33.497.660/0132-48,EM FUNCIONAMENTO,09/04/2021,06/10/1993,207.0,4.0,1.0,2.0,SIM,NÃO,SIM,KINOPLEX VIA PARQUE,13454,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,AVENIDA AYRTON SENNA,3000.0,"LJ.2068A,2°AND.",BARRA DA TIJUCA,RIO DE JANEIRO,22775-002,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4697,KINOPLEX VIA PARQUE 2,5002198.0,33.497.660/0132-48,EM FUNCIONAMENTO,09/04/2021,06/10/1993,281.0,6.0,1.0,3.0,SIM,NÃO,SIM,KINOPLEX VIA PARQUE,13454,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,AVENIDA AYRTON SENNA,3000.0,"LJ.2068A,2°AND.",BARRA DA TIJUCA,RIO DE JANEIRO,22775-002,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4698,KINOPLEX VIA PARQUE 3,5002199.0,33.497.660/0132-48,EM FUNCIONAMENTO,09/04/2021,06/10/1993,373.0,8.0,1.0,4.0,SIM,NÃO,SIM,KINOPLEX VIA PARQUE,13454,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,AVENIDA AYRTON SENNA,3000.0,"LJ.2068A,2°AND.",BARRA DA TIJUCA,RIO DE JANEIRO,22775-002,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4699,KINOPLEX VIA PARQUE 4- KINOEVOLUTION,5005018.0,33.497.660/0132-48,EM FUNCIONAMENTO,09/04/2021,01/02/2015,404.0,8.0,1.0,4.0,SIM,NÃO,SIM,KINOPLEX VIA PARQUE,13454,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,AVENIDA AYRTON SENNA,3000.0,"LJ.2068A,2°AND.",BARRA DA TIJUCA,RIO DE JANEIRO,22775-002,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4700,KINOPLEX VIA PARQUE 5,5005019.0,33.497.660/0132-48,EM FUNCIONAMENTO,09/04/2021,01/02/2015,102.0,3.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX VIA PARQUE,13454,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,AVENIDA AYRTON SENNA,3000.0,"LJ.2068A,2°AND.",BARRA DA TIJUCA,RIO DE JANEIRO,22775-002,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4701,KINOPLEX VIA PARQUE 6,5005020.0,33.497.660/0132-48,EM FUNCIONAMENTO,09/04/2021,01/02/2015,79.0,3.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX VIA PARQUE,13454,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,AVENIDA AYRTON SENNA,3000.0,"LJ.2068A,2°AND.",BARRA DA TIJUCA,RIO DE JANEIRO,22775-002,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4709,KINOPLEX WEST SHOPPING RIO 01,5002888.0,33.497.660/0007-74,EM FUNCIONAMENTO,09/04/2021,26/06/2010,224.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX WEST SHOPPING,17366,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,"EST. DO MENDANHA, EDIF I",550.0,LJ 301 E 401,CAMPO GRANDE,RIO DE JANEIRO,23087-284,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4710,KINOPLEX WEST SHOPPING RIO 02,5002891.0,33.497.660/0007-74,EM FUNCIONAMENTO,06/05/2021,26/06/2010,221.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX WEST SHOPPING,17366,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,"EST. DO MENDANHA, EDIF I",550.0,LJ 301 E 401,CAMPO GRANDE,RIO DE JANEIRO,23087-284,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4711,KINOPLEX WEST SHOPPING RIO 03,5002890.0,33.497.660/0007-74,EM FUNCIONAMENTO,29/04/2021,26/06/2010,203.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX WEST SHOPPING,17366,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,"EST. DO MENDANHA, EDIF I",550.0,LJ 301 E 401,CAMPO GRANDE,RIO DE JANEIRO,23087-284,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4712,KINOPLEX WEST SHOPPING RIO 04,5002889.0,33.497.660/0007-74,EM FUNCIONAMENTO,13/05/2021,26/06/2010,134.0,2.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX WEST SHOPPING,17366,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,"EST. DO MENDANHA, EDIF I",550.0,LJ 301 E 401,CAMPO GRANDE,RIO DE JANEIRO,23087-284,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
4713,KINOPLEX WEST SHOPPING RIO 05,5002892.0,33.497.660/0007-74,EM FUNCIONAMENTO,29/04/2021,26/06/2010,286.0,4.0,1.0,1.0,SIM,NÃO,SIM,KINOPLEX WEST SHOPPING,17366,EM FUNCIONAMENTO,09/04/2021,WWW.KINOPLEX.COM.BR,"EST. DO MENDANHA, EDIF I",550.0,LJ 301 E 401,CAMPO GRANDE,RIO DE JANEIRO,23087-284,RJ,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
5495,CINESYSTEM AMERICAS 01,5004997.0,07.524.011/0007-05,EM FUNCIONAMENTO,29/04/2021,11/12/2014,96.0,2.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5496,CINESYSTEM AMERICAS 02,5004998.0,07.524.011/0007-05,EM FUNCIONAMENTO,29/04/2021,11/12/2014,167.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5497,CINESYSTEM AMERICAS 03,5004999.0,07.524.011/0007-05,EM FUNCIONAMENTO,29/04/2021,11/12/2014,159.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5498,CINESYSTEM AMERICAS 04,5005000.0,07.524.011/0007-05,EM FUNCIONAMENTO,29/04/2021,11/12/2014,159.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5499,CINESYSTEM AMERICAS 05,5005001.0,07.524.011/0007-05,EM FUNCIONAMENTO,29/04/2021,11/12/2014,159.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
