,titulo,titulo_original,ano,duracao,diretor,roteirista,elenco,nota,num_votos,sinopse,genero,verba,receita
0,Crepúsculo dos Deuses,Sunset Blvd.,1950,110,['Billy Wilder'],"['Charles Brackett', 'Billy Wilder', 'D.M. Marshman Jr.']","['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",8.4,243000.0,Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.,"['Drama', 'Filme noir']",1752000,308663
1,Rashomon,Rashômon,1950,88,['Akira Kurosawa'],"['Ryûnosuke Akutagawa', 'Akira Kurosawa', 'Shinobu Hashimoto']","['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']",8.2,185000.0,"A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.","['Policial', 'Drama', 'Mistério']",250000,133998
2,Cinderela,Cinderella,1950,74,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Charles Perrault', 'Bill Peet', 'Erdman Penner']","['Ilene Woods', 'James MacDonald', 'Eleanor Audley']",7.3,178000.0,"Quando a cruel madrasta de Cinderela a impede de ir ao baile real, ela recebe ajuda inesperada de dois adoráveis ratos e de sua fada madrinha.","['Animação', 'Família', 'Fantasia', 'Musical', 'Romance']",2900000,96383330
3,A Malvada,All About Eve,1950,138,['Joseph L. Mankiewicz'],"['Joseph L. Mankiewicz', 'Mary Orr']","['Bette Davis', 'Anne Baxter', 'George Sanders']",8.2,142000.0,"Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.",['Drama'],1400000,154501
4,Meu Amigo Harvey,Harvey,1950,104,['Henry Koster'],"['Mary Chase', 'Oscar Brodney', 'Myles Connolly']","['James Stewart', 'Wallace Ford', 'William H. Lynn']",7.9,59000.0,"Por insistir em que ele tem um coelho invisível de um metro e oitenta de altura como melhor amigo, sua família acredita que esse homem é louco, mas ele pode ser mais sábio do que parece.","['Comédia', 'Drama', 'Fantasia']",0,0
5,No Silêncio da Noite,In a Lonely Place,1950,94,['Nicholas Ray'],"['Andrew Solt', 'Edmund H. North', 'Dorothy B. Hughes']","['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy']",7.9,37000.0,"Um roteirista potencialmente violento é suspeito de assassinato até que seu adorável vizinho o esclarece. Entretanto, ele logo começa a ter suas dúvidas.","['Drama', 'Filme noir', 'Mistério', 'Romance', 'Suspense']",0,0
6,O Segredo das Joias,The Asphalt Jungle,1950,112,['John Huston'],"['Ben Maddow', 'John Huston', 'W.R. Burnett']","['Sterling Hayden', 'Louis Calhern', 'Jean Hagen']",7.8,31000.0,Riedenschneider é um ladrão famoso que sai da prisão com um plano: formar uma quadrilha e roubar 500 mil dólares em joias. Tudo vai bem até que pequenos incidentes e a ganância dos membros da gangue ameaçam arruinar todo o esquema.,"['Policial', 'Drama', 'Filme noir', 'Suspense']",1232000,29868
7,Winchester '73,Winchester '73,1950,92,['Anthony Mann'],"['Robert L. Richards', 'Borden Chase', 'Stuart N. Lake']","['James Stewart', 'Shelley Winters', 'Dan Duryea']",7.6,23000.0,A obsessão de um vaqueiro por um fuzil roubado o leva numa odisseia cheia de balas através do oeste americano.,"['Ação', 'Drama', 'Faroeste']",0,0
8,Os Esquecidos,Los olvidados,1950,85,['Luis Buñuel'],"['Luis Alcoriza', 'Max Aub', 'Luis Buñuel']","['Alfonso Mejía', 'Roberto Cobo', 'Estela Inda']",8.2,22000.0,"Um grupo de delinquentes juvenis vive uma vida violenta e cheia de crimes nas favelas da Cidade do México, e a moral do jovem Pedro é gradualmente corrompida e destruída pelos outros.","['Policial', 'Drama']",0,0
9,Rio Bravo,Rio Grande,1950,105,['John Ford'],"['James Kevin McGuinness', 'James Warner Bellah']","['John Wayne', ""Maureen O'Hara"", 'Ben Johnson']",7.0,18000.0,"Um oficial de cavalaria do Rio Grande enfrenta Apaches assassinos, um filho que é um recruta arriscado e sua esposa, da qual ele está separado há muitos anos.","['Drama', 'Romance', 'Faroeste']",0,0
10,Pavor nos Bastidores,Stage Fright,1950,111,['Alfred Hitchcock'],"['Whitfield Cook', 'Alma Reville', 'Selwyn Jepson']","['Marlene Dietrich', 'Jane Wyman', 'Richard Todd']",7.0,17000.0,Um estudante inglês de teatro e seu pai ajudam um jovem acusado de matar o marido de uma atriz.,"['Filme noir', 'Mistério', 'Suspense']",1437000,511
11,Sombras do Mal,Night and the City,1950,101,['Jules Dassin'],"['Jo Eisinger', 'Gerald Kersh', 'Austin Dempster']","['Richard Widmark', 'Gene Tierney', 'Googie Withers']",7.9,16000.0,A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.,"['Policial', 'Filme noir', 'Esportes', 'Suspense']",0,0
12,Mortalmente Perigosa,Gun Crazy,1950,87,['Joseph H. Lewis'],"['MacKinlay Kantor', 'Millard Kaufman', 'Dalton Trumbo']","['John Dall', 'Peggy Cummins', 'Berry Kroeger']",7.6,15000.0,Dois jovens perturbados liberam seu fascínio por armas em uma onda de crimes.,"['Policial', 'Drama', 'Filme noir', 'Romance', 'Suspense']",400000,17322
13,Orfeu,Orphée,1950,112,['Jean Cocteau'],['Jean Cocteau'],"['Jean Marais', 'François Périer', 'María Casares']",7.9,14000.0,Um poeta apaixonado pela morte segue sua infeliz esposa até o submundo.,"['Drama', 'Fantasia', 'Romance']",0,0
14,O Matador,The Gunfighter,1950,85,['Henry King'],"['William Bowers', 'William Sellers', 'André De Toth']","['Gregory Peck', 'Helen Westcott', 'Millard Mitchell']",7.7,13000.0,"O famoso atirador Jimmy Ringo viaja para a cidade para encontrar seu verdadeiro amor, que não quer vê-lo. Ele não veio à procura de problemas, mas os problemas o encontram em todos os cantos.",['Faroeste'],0,0
15,O Papai da Noiva,Father of the Bride,1950,92,['Vincente Minnelli'],"['Frances Goodrich', 'Albert Hackett', 'Edward Streeter']","['Spencer Tracy', 'Joan Bennett', 'Elizabeth Taylor']",7.1,13000.0,"The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding.","['Comédia', 'Drama', 'Romance', 'Adicionar aviso de conteúdo']",0,0
16,Nascida Ontem,Born Yesterday,1950,103,['George Cukor'],"['Garson Kanin', 'Albert Mannheimer', 'Yves Mirande']","['Judy Holliday', 'William Holden', 'Broderick Crawford']",7.5,13000.0,"While in Washington to lobby for favorable legislation, a garbage tycoon hires a reporter to teach his ex-showgirl mistress proper etiquette to better fit in with high society, but she ends up learning more than he bargained for.","['Comédia', 'Drama', 'Romance']",0,0
17,Passos na Noite,Where the Sidewalk Ends,1950,95,['Otto Preminger'],"['Ben Hecht', 'Victor Trivas', 'Frank P. Rosenberg']","['Dana Andrews', 'Gene Tierney', 'Gary Merrill']",7.6,10000.0,O Detetive Mark Dixon quer ser algo que seu pai não era: um homem do lado certo da lei. Será que a natureza viciosa de Dixon levara o melhor sobre ele?,"['Policial', 'Drama', 'Filme noir']",0,0
18,Flechas de Fogo,Broken Arrow,1950,93,['Delmer Daves'],"['Elliott Arnold', 'Albert Maltz', 'Michael Blankfort']","['James Stewart', 'Jeff Chandler', 'Debra Paget']",7.1,10000.0,Tom Jeffords tenta fazer a paz entre colonos e apaches no território do Arizona.,"['Drama', 'Romance', 'Faroeste']",0,0
19,A Ilha do Tesouro,Treasure Island,1950,96,['Byron Haskin'],"['Lawrence Edward Watkin', 'Robert Louis Stevenson']","['Bobby Driscoll', 'Robert Newton', 'Basil Sydney']",6.9,9800.0,As aventuras de caça ao tesouro do jovem Jim Hawkins e do capitão pirata Long John Silver.,"['Aventura', 'Família']",0,0
20,Pânico nas Ruas,Panic in the Streets,1950,96,['Elia Kazan'],"['Richard Murphy', 'Daniel Fuchs', 'Edna Anhalt']","['Richard Widmark', 'Paul Douglas', 'Barbara Bel Geddes']",7.2,9100.0,Um médico e um policial de Nova Orleans têm apenas 48 horas para rastrear um assassino infectado com peste pneumônica.,"['Policial', 'Drama', 'Filme noir', 'Suspense', 'Adicionar aviso de conteúdo']",1400000,29
21,Stromboli,Stromboli (Terra di Dio),1950,107,['Roberto Rossellini'],"['Roberto Rossellini', 'Sergio Amidei', 'Gian Paolo Callegari']","['Ingrid Bergman', 'Mario Vitale', 'Renzo Cesana']",7.2,8200.0,"Karin, uma jovem mulher báltica, casa-se com o pescador Antonio para escapar de um campo de prisioneiros. Mas não se pode habituar à vida dura da aldeia de Antonio, ameaçada pelo vulcão Stromboli.",['Drama'],1000000,17532
22,As Minas do Rei Salomão,King Solomon's Mines,1950,103,"['Compton Bennett', 'Andrew Marton']","['Helen Deutsch', 'H. Rider Haggard']","['Deborah Kerr', 'Stewart Granger', 'Richard Carlson']",6.7,7200.0,O aventureiro Allan Quartermain lidera uma expedição em território africano desconhecido na tentativa de localizar um explorador que desapareceu.,"['Ação', 'Aventura', 'Romance']",0,0
23,O Ódio é Cego,No Way Out,1950,106,['Joseph L. Mankiewicz'],"['Joseph L. Mankiewicz', 'Lesser Samuels', 'Philip Yordan']","['Richard Widmark', 'Linda Darnell', 'Stephen McNally']",7.4,6500.0,"Two hoodlum brothers are brought into a hospital for gunshot wounds, and when one of them dies the other accuses their black doctor of murder.","['Policial', 'Drama', 'Filme noir', 'Suspense']",0,0
24,A Ronda,La ronde,1950,93,['Max Ophüls'],"['Arthur Schnitzler', 'Jacques Natanson', 'Max Ophüls']","['Anton Walbrook', 'Simone Signoret', 'Serge Reggiani']",7.5,6100.0,Vinhetas que giram em torno de um círculo de amor interligado.,"['Drama', 'Romance']",0,0
25,Alice no País das Maravilhas,Alice in Wonderland,1951,75,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Lewis Carroll', 'Winston Hibler', 'Ted Sears']","['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn']",7.3,158000.0,"Alice tropeça no mundo do País das Maravilhas, mas seu retorno para casa dependerá da rainha dos corações.","['Animação', 'Aventura', 'Comédia', 'Família', 'Fantasia', 'Musical']",3000000,865
26,Pacto Sinistro,Strangers on a Train,1951,101,['Alfred Hitchcock'],"['Raymond Chandler', 'Czenzi Ormonde', 'Whitfield Cook']","['Farley Granger', 'Robert Walker', 'Ruth Roman']",7.9,144000.0,Um psicopata força uma estrela do tênis a cumprir sua teoria de que dois estranhos podem escapar de um assassinato.,"['Policial', 'Drama', 'Filme noir', 'Suspense']",1200000,50415
27,Uma Rua Chamada Pecado,A Streetcar Named Desire,1951,122,['Elia Kazan'],"['Tennessee Williams', 'Oscar Saul', 'Charles Goldblat']","['Vivien Leigh', 'Marlon Brando', 'Kim Hunter']",7.9,116000.0,A perturbada Blanche DuBois se muda com sua irmã em Nova Orleans e é atormentada por seu brutal cunhado.,['Drama'],1800000,53162
28,O Dia em que a Terra Parou,The Day the Earth Stood Still,1951,92,['Robert Wise'],"['Edmund H. North', 'Harry Bates']","['Michael Rennie', 'Patricia Neal', 'Hugh Marlowe']",7.7,87000.0,Um alienígena pousa e diz ao povo da Terra que eles devem viver em paz ou serão destruídos como um perigo para outros planetas.,"['Drama', 'Ficção científica']",1200000,651
29,Uma Aventura na África,The African Queen,1951,105,['John Huston'],"['C.S. Forester', 'James Agee', 'John Huston']","['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley']",7.7,86000.0,"Na Primeira Guerra Mundial na África, o capitão de um navio é persuadido por um missionário rigoroso a usar seu navio para atacar um navio de guerra inimigo.","['Aventura', 'Drama', 'Romance', 'Guerra']",1000000,46305
30,A Montanha dos 7 Abutres,Ace in the Hole,1951,111,['Billy Wilder'],"['Billy Wilder', 'Lesser Samuels', 'Walter Newman']","['Kirk Douglas', 'Jan Sterling', 'Robert Arthur']",8.1,40000.0,"Um ex-jornalista frustrado que agora trabalha para um jornal de Albuquerque aproveita uma história sobre um homem preso em uma caverna para reavivar sua carreira, mas a situação rapidamente se transforma em um circo descontrolado.","['Drama', 'Filme noir']",1800000,2300000
31,Sinfonia de Paris,An American in Paris,1951,114,['Vincente Minnelli'],['Alan Jay Lerner'],"['Gene Kelly', 'Leslie Caron', 'Oscar Levant']",7.1,38000.0,Três amigos lutam para encontrar trabalho em Paris. As coisas se tornam mais complicadas quando dois deles se apaixonam pela mesma mulher.,"['Drama', 'Musical', 'Romance']",2723903,275077
32,O Monstro do Ártico,The Thing from Another World,1951,87,"['Christian Nyby', 'Howard Hawks']","['Charles Lederer', 'John W. Campbell Jr.', 'Howard Hawks']","['Kenneth Tobey', 'Margaret Sheridan', 'James Arness']",7.1,35000.0,Cientistas e oficiais da Força Aérea dos Estados Unidos rejeitam um organismo alienígena sedento de sangue enquanto estão em um posto remoto no Ártico.,"['Terror', 'Ficção científica']",0,0
33,Contos de Natal,Scrooge,1951,86,['Brian Desmond Hurst'],"['Charles Dickens', 'Noel Langley']","['Alastair Sim', 'Jack Warner', 'Kathleen Harrison']",8.1,26000.0,"Ebenezer, um homem de negócios ganancioso e mal-humorado, não tem tempo para sentimentalismos e considera o natal uma perda de tempo. Entretanto, neste natal, será visitado por três espíritos que lhe mostrarão os erros de sua vida.","['Drama', 'Família', 'Fantasia']",0,0
34,Um Lugar ao Sol,A Place in the Sun,1951,122,['George Stevens'],"['Theodore Dreiser', 'Patrick Kearney', 'Michael Wilson']","['Montgomery Clift', 'Elizabeth Taylor', 'Shelley Winters']",7.7,25000.0,Um homem pobre consegue um emprego trabalhando para seu tio rico e acaba se apaixonando por duas mulheres.,"['Drama', 'Romance']",2295304,748
35,Quo Vadis,Quo Vadis,1951,171,"['Mervyn LeRoy', 'Anthony Mann']","['John Lee Mahin', 'S.N. Behrman', 'Sonya Levien']","['Robert Taylor', 'Deborah Kerr', 'Leo Genn']",7.1,17000.0,"Durante o reinado do insano e sanguinário imperador romano Nero, um tribuno romano, se apaixona perdidamente por uma jovem cristã, mas o romance é prejudicado por intrigas.","['Biografia', 'Drama', 'Romance']",7623000,101486
36,O Mistério da Torre,The Lavender Hill Mob,1951,78,['Charles Crichton'],['T.E.B. Clarke'],"['Alec Guinness', 'Stanley Holloway', 'Sidney James']",7.5,16000.0,A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,"['Comédia', 'Policial']",0,0
37,Diário de um Pároco de Aldeia,Journal d'un curé de campagne,1951,115,['Robert Bresson'],"['Georges Bernanos', 'Robert Bresson']","['Claude Laydu', 'Nicole Ladmiral', 'Jean Riveyre']",7.7,13000.0,Um jovem padre assumindo a paróquia de Ambricourt tenta cumprir suas obrigações enquanto luta contra uma misteriosa doença de estômago.,['Drama'],0,0
38,O Homem do Terno Branco,The Man in the White Suit,1951,85,['Alexander Mackendrick'],"['Roger MacDougall', 'John Dighton', 'Alexander Mackendrick']","['Alec Guinness', 'Joan Greenwood', 'Cecil Parker']",7.2,11000.0,"Um químico altruísta inventa um tecido que resiste ao desgaste e às manchas, como um benefício para a humanidade, mas as grandes empresas e os trabalhadores percebem que ele precisa ser destruído por razões econômicas.","['Comédia', 'Drama', 'Ficção científica']",0,0
39,Também Fomos Felizes,Bakushû,1951,125,['Yasujirô Ozu'],"['Kôgo Noda', 'Yasujirô Ozu']","['Setsuko Hara', 'Chishû Ryû', 'Chikage Awashima']",8.1,9900.0,"Uma família escolhe um parceiro para sua filha Noriko, mas ela, surpreendentemente, tem seus próprios planos.","['Comédia', 'Drama', 'Romance']",0,0
40,Chaga de Fogo,Detective Story,1951,103,['William Wyler'],"['Philip Yordan', 'Robert Wyler', 'Sidney Kingsley']","['Kirk Douglas', 'Eleanor Parker', 'William Bendix']",7.5,9700.0,"Em um dia, na sala do esquadrão da 21ª Delegacia, diversos personagens formam o pano de fundo para os problemas do obstinado detetive Jim McLeod.","['Policial', 'Drama', 'Filme noir', 'Romance']",0,0
41,Otelo,The Tragedy of Othello: The Moor of Venice,1951,90,['Orson Welles'],"['William Shakespeare', 'Orson Welles', 'Jean Sacha']","['Orson Welles', 'Micheál MacLiammóir', 'Robert Coote']",7.5,9700.0,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio when in reality, it is all part of the scheme of a bitter Ensign named Iago.","['Drama', 'Romance']",0,0
42,O Fim do Mundo,When Worlds Collide,1951,83,['Rudolph Maté'],"['Sydney Boehm', 'Edwin Balmer', 'Philip Wylie']","['Richard Derr', 'Barbara Rush', 'Peter Hansen']",6.6,9600.0,"As a new star and planet hurtle toward a doomed Earth, a small group of survivalists frantically work to complete the rocket which will take them to their new home.","['Ação', 'Ficção científica', 'Suspense']",0,0
43,Milagre em Milão,Miracolo a Milano,1951,97,['Vittorio De Sica'],"['Cesare Zavattini', 'Vittorio De Sica', ""Suso Cecchi D'Amico""]","['Emma Gramatica', 'Francesco Golisano', 'Paolo Stoppa']",7.6,8800.0,Um órfão de coração aberto e implacavelmente enérgico luta para fazer o melhor de sua vida nas ruas de Milão.,"['Comédia', 'Drama', 'Fantasia']",0,0
44,Cinzas que Queimam,On Dangerous Ground,1951,82,"['Nicholas Ray', 'Ida Lupino']","['A.I. Bezzerides', 'Nicholas Ray', 'Gerald Butler']","['Ida Lupino', 'Robert Ryan', 'Ward Bond']",7.2,8500.0,"Rough, violent city cop Jim Wilson is disciplined by his captain who sends him upstate to a snowy mountain town to help the local sheriff solve a murder case.","['Drama', 'Filme noir']",0,0
45,O Falcão dos Mares,Captain Horatio Hornblower R.N.,1951,117,['Raoul Walsh'],"['Ivan Goff', 'Ben Roberts', 'Æneas MacKenzie']","['Gregory Peck', 'Virginia Mayo', 'Robert Beatty']",7.3,7700.0,"During the Napoleonic wars, a British Navy Captain has adventures in Central American waters.","['Ação', 'Aventura', 'Drama', 'Guerra']",0,0
46,Dizem que é Pecado,People Will Talk,1951,110,['Joseph L. Mankiewicz'],"['Joseph L. Mankiewicz', 'Curt Goetz']","['Cary Grant', 'Jeanne Crain', 'Finlay Currie']",7.3,7300.0,"A lenda do cinema Cary Grant interpreta o Dr. Noah Praetorius, um adorável professor e chefe de uma clínica médica que se torna o alvo de uma investigação no estilo McCarthy devido a denúncias de um colega enciumado.","['Comédia', 'Drama', 'Romance']",0,0
47,O Rio Sagrado,The River,1951,99,['Jean Renoir'],"['Rumer Godden', 'Jean Renoir']","['Patricia Walters', 'Nora Swinburne', 'Esmond Knight']",7.4,7000.0,"The growing pains of three young women contrast with the immutability of the holy Bengal River, around which their daily lives unfold.","['Drama', 'Romance']",0,0
48,Juventude,Sommarlek,1951,96,['Ingmar Bergman'],"['Ingmar Bergman', 'Herbert Grevenius']","['Maj-Britt Nilsson', 'Birger Malmsten', 'Alf Kjellin']",7.5,6800.0,A lonely woman recalls her first love thirteen years prior during a brief summer vacation.,"['Drama', 'Romance', 'Adicionar aviso de conteúdo']",0,0
49,A Raposa do Deserto,The Desert Fox: The Story of Rommel,1951,88,['Henry Hathaway'],"['Nunnally Johnson', 'Desmond Young']","['James Mason', 'Cedric Hardwicke', 'Jessica Tandy']",6.9,6800.0,"The story of the final years of the respected World War II German general, Erwin Rommel.","['Biografia', 'Drama', 'Guerra']",0,0
50,Cantando na Chuva,Singin' in the Rain,1952,103,"['Stanley Donen', 'Gene Kelly']","['Betty Comden', 'Adolph Green']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",8.3,267000.0,Uma produtora de cinema e elenco fazem uma transição difíci.,"['Comédia', 'Musical', 'Romance']",2540800,2093275
51,Matar ou Morrer,High Noon,1952,85,['Fred Zinnemann'],"['Carl Foreman', 'John W. Cunningham']","['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell']",7.9,112000.0,"Apesar dos desentendimentos com sua namorada e os habitantes da cidade, um marechal deve enfrentar uma gangue quando seu líder chegar no trem do meio-dia.","['Drama', 'Suspense', 'Faroeste']",730000,217
52,Viver,Ikiru,1952,143,['Akira Kurosawa'],"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]",8.3,92000.0,"Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.",['Drama'],0,0
53,Depois do Vendaval,The Quiet Man,1952,129,['John Ford'],"['Frank S. Nugent', 'Maurice Walsh', 'John Ford']","['John Wayne', ""Maureen O'Hara"", 'Barry Fitzgerald']",7.7,43000.0,"Um boxeador americano aposentado volta à sua cidade natal na Irlanda, onde se apaixona por uma ruiva enérgica cujo irmão despreza a união deles.","['Comédia', 'Drama', 'Romance']",0,0
54,Umberto D.,Umberto D.,1952,89,['Vittorio De Sica'],['Cesare Zavattini'],"['Carlo Battisti', 'Maria Pia Casilio', 'Lina Gennari']",8.2,29000.0,Um homem velho e seu cão lutam para sobreviver com a pensão do governo em Roma.,['Drama'],0,0
55,Luzes da Ribalta,Limelight,1952,137,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Claire Bloom', 'Nigel Bruce']",8.0,23000.0,Um comediante em desvanecimento e uma dançarina de balé suicida e desanimada devem olhar um para o outro para encontrar um propósito e esperança em suas vidas.,"['Drama', 'Musical', 'Romance']",0,0
56,Assim Estava Escrito,The Bad and the Beautiful,1952,118,['Vincente Minnelli'],"['Charles Schnee', 'George Bradshaw']","['Lana Turner', 'Kirk Douglas', 'Walter Pidgeon']",7.8,17000.0,"Um produtor de filmes sem escrúpulos usa uma atriz, um diretor e um escritor para alcançar o sucesso.","['Drama', 'Romance']",1558000,2025
57,O Maior Espetáculo da Terra,The Greatest Show on Earth,1952,152,['Cecil B. DeMille'],"['Fredric M. Frank', 'Barré Lyndon', 'Theodore St. John']","['James Stewart', 'Charlton Heston', 'Betty Hutton']",6.5,16000.0,"As vidas dramáticas de trapezistas, um palhaço e um treinador de elefantes são contadas em um contexto de espetáculo de circo.","['Drama', 'Família', 'Romance']",4000000,36000000
58,O Inventor da Mocidade,Monkey Business,1952,97,['Howard Hawks'],"['Ben Hecht', 'Charles Lederer', 'I.A.L. Diamond']","['Cary Grant', 'Ginger Rogers', 'Marilyn Monroe']",6.9,16000.0,"Barnaby Fulton, casado com Edwina, é um cientista obcecado em descobrir uma fórmula de rejuvenescimento. O projeto é acompanhado com atenção por Oliver Oxley, seu chefe, que prevê lucros imensos caso o produto funcione.","['Comédia', 'Ficção científica']",0,0
59,Medo E Desejo,Fear and Desire,1952,62,['Stanley Kubrick'],['Howard Sackler'],"['Frank Silvera', 'Kenneth Harp', 'Paul Mazursky']",5.3,14000.0,Quatro soldados presos atrás das linhas inimigas devem enfrentar seus medos e desejos.,"['Drama', 'Suspense', 'Guerra']",33000,953
60,Brinquedo Proibido,Jeux interdits,1952,86,['René Clément'],"['François Boyer', 'Jean Aurenche', 'Pierre Bost']","['Georges Poujouly', 'Brigitte Fossey', 'Amédée']",8.0,13000.0,"A young French girl orphaned in a German air attack is befriended by the son of a poor farmer, and together they try to come to terms with the realities of death.","['Drama', 'Guerra']",0,0
61,Viva Zapata!,Viva Zapata!,1952,113,['Elia Kazan'],"['John Steinbeck', 'Edgecumb Pinchon']","['Marlon Brando', 'Jean Peters', 'Anthony Quinn']",7.2,13000.0,"A história do revolucionário mexicano Emiliano Zapata, que liderou uma rebelião contra a corrupta e opressora ditadura do presidente Porfirio Díaz, no início do século XX.","['Biografia', 'Drama', 'História', 'Faroeste']",0,0
62,"Ivanhoé, o Vingador do Rei",Ivanhoe,1952,106,['Richard Thorpe'],"['Noel Langley', 'Æneas MacKenzie', 'Marguerite Roberts']","['Robert Taylor', 'Elizabeth Taylor', 'Joan Fontaine']",6.7,11000.0,A knight seeks to free the captive King Richard and put him back on the throne.,"['Aventura', 'Drama', 'Romance']",0,0
63,E o Sangue Semeou a Terra,Bend of the River,1952,91,['Anthony Mann'],"['Borden Chase', 'William Gulick']","['James Stewart', 'Rock Hudson', 'Arthur Kennedy']",7.2,10000.0,"Quando um chefe de cidade confisca os suprimentos de um fazendeiro depois que o ouro é descoberto nas proximidades, um vaqueiro duro arrisca sua vida para tentar levá-lo.","['Ação', 'Aventura', 'Drama', 'Romance', 'Faroeste']",0,0
64,Alma em Pânico,Angel Face,1952,91,['Otto Preminger'],"['Frank S. Nugent', 'Oscar Millard', 'Chester Erskine']","['Robert Mitchum', 'Jean Simmons', 'Mona Freeman']",7.2,9300.0,Ambulance driver Frank Jessup is ensnared in the schemes of the sensuous but dangerous Diane Tremayne.,"['Policial', 'Drama', 'Filme noir', 'Romance', 'Suspense']",0,0
65,Rumo ao Inferno,The Narrow Margin,1952,71,"['Richard Fleischer', 'William Cameron Menzies']","['Earl Felton', 'Martin Goldsmith', 'Jack Leonard']","['Charles McGraw', 'Marie Windsor', 'Jacqueline White']",7.6,8900.0,Uma mulher que planeja testemunhar contra a multidão deve ser protegida contra seus assassinos na viagem de trem de Chicago a Los Angeles.,"['Policial', 'Drama', 'Filme noir', 'Suspense']",0,0
66,Almas Desesperadas,Don't Bother to Knock,1952,76,['Roy Ward Baker'],"['Daniel Taradash', 'Charlotte Armstrong']","['Richard Widmark', 'Marilyn Monroe', 'Anne Bancroft']",6.9,8700.0,"After being dumped by his girlfriend, an airline pilot pursues a babysitter in his hotel and gradually realizes she's dangerous.","['Drama', 'Filme noir', 'Mistério', 'Suspense']",0,0
67,Os Quatro Desconhecidos,Kansas City Confidential,1952,99,['Phil Karlson'],"['George Bruce', 'Harry Essex', 'Harold Greene']","['John Payne', 'Coleen Gray', 'Preston Foster']",7.3,8500.0,Um ex-presidiário que tenta fazer o certo é incriminado por um roubo de carro blindado de um milhão de dólares e deve ir ao México para desmascarar os verdadeiros culpados.,"['Policial', 'Drama', 'Filme noir', 'Suspense']",0,0
68,Precipícios d'Alma,Sudden Fear,1952,110,['David Miller'],"['Lenore J. Coffee', 'Robert Smith', 'Edna Sherry']","['Joan Crawford', 'Jack Palance', 'Gloria Grahame']",7.5,7800.0,"After an ambitious actor insinuates himself into the life of a wealthy middle-aged playwright and marries her, he plots with his mistress to murder her.","['Filme noir', 'Suspense']",720000,24759
69,"Oharu, a Vida de uma Cortesã",Saikaku ichidai onna,1952,148,['Kenji Mizoguchi'],"['Saikaku Ihara', 'Kenji Mizoguchi', 'Yoshikata Yoda']","['Kinuyo Tanaka', 'Tsukie Matsuura', 'Ichirô Sugai']",8.1,7800.0,Segue a luta e sobrevivência de uma mulher em meio às vicissitudes da vida e a crueldade da sociedade.,['Drama'],0,0
70,Só a Mulher Peca,Clash by Night,1952,105,['Fritz Lang'],"['Alfred Hayes', 'Clifford Odets']","['Barbara Stanwyck', 'Robert Ryan', 'Paul Douglas']",7.0,7600.0,"Mae Doyle comes back to her hometown a cynical woman. Her brother Joe fears that his love, fish cannery worker Peggy, may wind up like Mae. Mae marries Jerry and has a baby; she is happy but restless, drawn to Jerry's friend Earl.","['Drama', 'Filme noir', 'Romance']",0,0
71,O Pirata Sangrento,The Crimson Pirate,1952,105,['Robert Siodmak'],['Roland Kibbee'],"['Burt Lancaster', 'Nick Cravat', 'Eva Bartok']",7.1,7100.0,"During the 1700s, pirate Captain Vallo seizes a British warship and gets involved in various money-making schemes involving Caribbean rebels led by El Libre, British envoy Baron Jose Gruda, and a beautiful courtesan named Consuelo.","['Ação', 'Aventura', 'Comédia', 'Drama', 'Romance', 'Adicionar aviso de conteúdo']",0,0
72,Abismo de um Sonho,Lo sceicco bianco,1952,86,['Federico Fellini'],"['Michelangelo Antonioni', 'Federico Fellini', 'Tullio Pinelli']","['Alberto Sordi', 'Giulietta Masina', 'Brunella Bovo']",7.2,7100.0,"Durante um dia de lua-de-mel, um casal é separado pela luxúria da cidade e pelos desejos que ela produz.","['Comédia', 'Drama', 'Romance']",0,0
