,titulo,titulo_original,ano,duracao,diretor,roteirista,elenco,nota,num_votos,sinopse,genero,verba,receita
1144,A Balada do Pistoleiro,Desperado,1995,104,['Robert Rodriguez'],['Robert Rodriguez'],"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']",7.1,201000.0,"O ex-músico e pistoleiro ""El Mariachi"" chega a uma pequena cidade fronteiriça mexicana depois de estar longe por um longo tempo. Seu passado rapidamente o alcança e ele logo se envolve com o traficante de drogas local e sua gangue.","['Ação', 'Policial', 'Drama', 'Suspense', 'Faroeste']",7000000,25405445
1145,O Fantasma do Futuro,Kôkaku kidôtai,1995,83,['Mamoru Oshii'],"['Shirow Masamune', 'Kazunori Itô']","['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ôtsuka']",7.9,162000.0,Um policial ciborgue e seu companheiro caçam um misterioso hacker.,"['Animação', 'Ação', 'Policial', 'Drama', 'Mistério', 'Ficção científica', 'Suspense']",0,0
1146,Billy Madison: Um Herdeiro Bobalhão,Billy Madison,1995,89,['Tamra Davis'],"['Tim Herlihy', 'Adam Sandler']","['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson-Sampras']",6.4,160000.0,"Para herdar o império hoteleiro de seu pai, um homem imaturo e preguiçoso deve repetir os estudos mais uma vez.",['Comédia'],10000000,26488734
1147,"Gasparzinho, o Fantasminha Camarada",Casper,1995,100,['Brad Silberling'],"['Joseph Oriolo', 'Sherri Stoner', 'Deanna Oliver']","['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty']",6.2,151000.0,"Um investigador do paranormal e sua filha entram em uma casa abandonada, povoada por três fantasmas desobedientes e um amigo amigável.","['Comédia', 'Família', 'Fantasia']",55000000,288039549
1148,Epidemia,Outbreak,1995,127,['Wolfgang Petersen'],"['Laurence Dworet', 'Robert Roy Pool']","['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']",6.6,141000.0,"Os médicos do exército trabalham para conter uma epidemia causada por um vírus mortal transmitido pelo ar, que se espalhou por uma cidade da Califórnia.","['Ação', 'Drama', 'Suspense']",50000000,189859560
1149,Despedida em Las Vegas,Leaving Las Vegas,1995,111,['Mike Figgis'],"[""John O'Brien"", 'Mike Figgis']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",7.5,138000.0,"Ben Sanderson, um roteirista de Hollywood que perdeu tudo por causa de seu alcoolismo, chega a Las Vegas para beber até a morte. Lá ele conhece Sera, uma garota da rua.","['Drama', 'Romance']",3600000,32029928
1150,Fargo: Uma Comédia de Erros,Fargo,1996,98,"['Joel Coen', 'Ethan Coen']","['Ethan Coen', 'Joel Coen']","['William H. Macy', 'Frances McDormand', 'Steve Buscemi']",8.1,741000.0,O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.,"['Policial', 'Drama', 'Suspense']",7000000,60611975
1151,Trainspotting: Sem Limites,Trainspotting,1996,93,['Danny Boyle'],"['Irvine Welsh', 'John Hodge']","['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']",8.1,739000.0,"Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.",['Drama'],0,0
1152,Independence Day,Independence Day,1996,145,['Roland Emmerich'],"['Dean Devlin', 'Roland Emmerich']","['Will Smith', 'Bill Pullman', 'Jeff Goldblum']",7.0,619000.0,"Os extraterrestres estão em camino é sua meta é invadir e destroir a Terra, Para lutar com tecnologia superior, a arma da humanidade é a vontade de viver.","['Ação', 'Aventura', 'Ficção científica']",75000000,817400891
1153,Missão: Impossível,Mission: Impossible,1996,110,['Brian De Palma'],"['Bruce Geller', 'David Koepp', 'Steven Zaillian']","['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']",7.2,480000.0,"Um agente americano sob suspeita de deslealdade, deve descobrir e expor o verdadeiro espião sem a ajuda de sua organização.","['Ação', 'Aventura', 'Suspense']",80000000,457696391
1154,Pânico,Scream,1996,111,['Wes Craven'],['Kevin Williamson'],"['Neve Campbell', 'Courteney Cox', 'David Arquette']",7.4,407000.0,"Um ano após o assassinato de sua mãe, uma adolescente é aterrorizada por um novo assassino que a escolheu como alvo e usa filmes de terror como parte de seu jogo mortal.","['Terror', 'Mistério']",14000000,173046663
1155,A Rocha,The Rock,1996,136,['Michael Bay'],"['David Weisberg', 'Douglas Cook', 'Mark Rosner']","['Sean Connery', 'Nicolas Cage', 'Ed Harris']",7.4,365000.0,"Um general americano roubou armas químicas, fez reféns em Alcatraz e ameaça pulverizar São Francisco. Com o tempo a contar, um especialista em armas químicas e o único homem a ter escapado da prisão vão ter de entrar e desarmar os mísseis.","['Ação', 'Aventura', 'Suspense']",75000000,335062621
1156,Um Drink no Inferno,From Dusk Till Dawn,1996,108,['Robert Rodriguez'],"['Robert Kurtzman', 'Quentin Tarantino']","['Harvey Keitel', 'George Clooney', 'Juliette Lewis']",7.2,349000.0,"Dois criminais e seus reféns entram para se refugar num territorio cheo de vampiros, os resutlados são terríveis.","['Ação', 'Policial', 'Terror']",19000000,25837754
1157,Jerry Maguire: A Grande Virada,Jerry Maguire,1996,139,['Cameron Crowe'],['Cameron Crowe'],"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger']",7.3,293000.0,"Quando um agente esportivo tem uma epifania moral e é demitido por expressá-la, ele decide testar sua nova filosofia como um agente independente com o único atleta que fica com ele e sua ex-secretária.","['Comédia', 'Drama', 'Romance', 'Esportes']",50000000,273552592
1158,Um Maluco no Golfe,Happy Gilmore,1996,92,['Dennis Dugan'],"['Tim Herlihy', 'Adam Sandler']","['Adam Sandler', 'Christopher McDonald', 'Julie Bowen']",7.0,257000.0,Um rejeitado jogador de hóquei usa suas habilidades no campo de golfe para salvar a casa de sua avó.,"['Comédia', 'Esportes']",12000000,41205099
1159,As Duas Faces de um Crime,Primal Fear,1996,129,['Gregory Hoblit'],"['William Diehl', 'Steve Shagan', 'Ann Biderman']","['Richard Gere', 'Laura Linney', 'Edward Norton']",7.7,254000.0,Um coroinha é acusado de assassinar um padre e a verdade é enterrada em várias camadas.,"['Policial', 'Drama', 'Mistério', 'Suspense']",30000000,102616183
1160,Marte Ataca!,Mars Attacks!,1996,106,['Tim Burton'],"['Len Brown', 'Woody Gelman', 'Wally Wood']","['Jack Nicholson', 'Pierce Brosnan', 'Sarah Jessica Parker']",6.4,249000.0,A Terra é invadida por marcianos com armas imbatíveis e um senso de humor cruel.,"['Comédia', 'Ficção científica']",70000000,101381197
1161,Romeu + Julieta,Romeo + Juliet,0,0,['Baz Luhrmann'],"['William Shakespeare', 'Craig Pearce', 'Baz Luhrmann']","['Leonardo DiCaprio', 'Claire Danes', 'John Leguizamo']",6.7,249000.0,A famosa obra do Shakespeare é levada a Verona com o diálogo original.,"['Drama', 'Romance']",14500000,147554998
1162,Sleepers: A Vingança Adormecida,Sleepers,1996,147,['Barry Levinson'],"['Lorenzo Carcaterra', 'Barry Levinson']","['Robert De Niro', 'Kevin Bacon', 'Brad Pitt']",7.5,242000.0,"Depois que uma pegadinha dá desastrosamente errado, um grupo de garotos é enviado para um centro de detenção onde são brutalizados. Treze anos depois, um encontro inesperado e aleatório com um ex-guarda, lhes dá uma chance de vingança.","['Policial', 'Drama', 'Suspense']",44000000,165615285
1163,Twister,Twister,1996,113,['Jan de Bont'],"['Michael Crichton', 'Anne-Marie Martin']","['Helen Hunt', 'Bill Paxton', 'Jami Gertz']",6.5,239000.0,"Bill e Jo Harding, caçadores de tempestades, estão perto do divórcio, mas precisam se unir para criar um sistema avançado de alerta climático diante da ameaça de tornados extremamente violentos.","['Ação', 'Aventura', 'Suspense']",92000000,494580615
1164,Space Jam - O Jogo do Século,Space Jam,1996,88,['Joe Pytka'],"['Leo Benvenuti', 'Steve Rudnick', 'Timothy Harris']","['Michael Jordan', 'Wayne Knight', 'Theresa Randle']",6.5,219000.0,Os Looney Tunes procuram a ajuda da lenda do basquete Michael Jordan em uma tentativa desesperada de ganhar um jogo de basquete do qual depende sua liberdade,"['Animação', 'Aventura', 'Comédia', 'Família', 'Fantasia', 'Ficção científica', 'Esportes']",80000000,230594962
1165,O Paciente Inglês,The English Patient,1996,162,['Anthony Minghella'],"['Michael Ondaatje', 'Anthony Minghella']","['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe']",7.4,206000.0,"No final da Segunda Guerra Mundial, uma jovem enfermeira atende a uma vítima de acidente de avião gravemente queimado. Seu passado é mostrado em flashbacks, revelando um amor fatídico.","['Drama', 'Romance', 'Guerra']",27000000,231976425
1166,Tempo de Matar,A Time to Kill,1996,149,['Joel Schumacher'],"['John Grisham', 'Akiva Goldsman']","['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson']",7.5,187000.0,"Em Canton, Mississippi, um jovem advogado e seu assistente defendem um homem negro acusado de assassinar dois homens brancos que estupraram sua filha de dez anos, incitando retaliação violenta e vingança da Ku Klux Klan.","['Policial', 'Drama', 'Suspense']",40000000,152266007
1167,O Pentelho,The Cable Guy,1996,96,['Ben Stiller'],['Lou Holtz Jr.'],"['Jim Carrey', 'Matthew Broderick', 'Leslie Mann']",6.1,182000.0,"Após romper com a namorada, Steven suborna o instalador da TV por cabo para instalar canais de graça. Deste momento em diante, o instalador cola-se a ele e provoca uma série de transtornos na sua vida pessoal e profissional.","['Comédia', 'Drama', 'Suspense']",47000000,102825796
1168,Matilda,Matilda,1996,98,['Danny DeVito'],"['Roald Dahl', 'Nicholas Kazan', 'Robin Swicord']","['Danny DeVito', 'Rhea Perlman', 'Mara Wilson']",7.0,181000.0,"História de uma garotinha maravilhosa, que por acaso é uma gênio, tem uma maravilhosa professora, os piores pais de todos os tempos e o pior diretor de escola que se possa imaginar.","['Comédia', 'Família', 'Fantasia']",36000000,33460753
1169,O Corcunda de Notre Dame,The Hunchback of Notre Dame,1996,91,"['Gary Trousdale', 'Kirk Wise']","['Tab Murphy', 'Victor Hugo', 'Irene Mecchi']","['Demi Moore', 'Jason Alexander', 'Mary Kay Bergman']",7.0,175000.0,"Um jovem deve afirmar sua independência de um ministro do governo vicioso para ajudar sua amiga, uma dançarina.","['Animação', 'Drama', 'Família', 'Musical', 'Romance']",100000000,325338851
1170,O Preço de um Resgate,Ransom,1996,121,['Ron Howard'],"['Cyril Hume', 'Richard Maibaum', 'Richard Price']","['Mel Gibson', 'Gary Sinise', 'Rene Russo']",6.7,138000.0,"O filho do bilionário Tom Mullen é sequestrado, mas depois de concordar inicialmente em pagar o resgate, Mullen decide usar o dinheiro do resgate como recompensa.","['Ação', 'Policial', 'Suspense']",80000000,309492681
1171,Jornada nas Estrelas: Primeiro Contato,Star Trek: First Contact,1996,111,['Jonathan Frakes'],"['Gene Roddenberry', 'Rick Berman', 'Brannon Braga']","['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner']",7.6,134000.0,Os borgs viajam no tempo com a intençà o de impedir o primeiro contato da Terra com uma espécie alienígena. Capità o Picard e sua tripulaçà o os perseguem para garantir que Zefram Cochrane faça seu vôo inaugural atingindo velocidade warp.,"['Ação', 'Aventura', 'Drama', 'Ficção científica', 'Suspense']",45000000,146027888
1172,O Professor Aloprado,The Nutty Professor,1996,95,['Tom Shadyac'],"['Jerry Lewis', 'Bill Richmond', 'David Sheffield']","['Eddie Murphy', 'Jada Pinkett Smith', 'James Coburn']",5.7,126000.0,"O professor Sherman Klump, um homem muito acima do peso, mas de bom coração, toma uma substância química especial que o transforma em magro, mas detestável.","['Comédia', 'Romance', 'Ficção científica']",54000000,273961019
1173,Queima de Arquivo,Eraser,1996,115,['Chuck Russell'],"['Tony Puryear', 'Walon Green', 'Michael S. Chernuchin']","['Arnold Schwarzenegger', 'Vanessa Williams', 'James Caan']",6.2,120000.0,"Um especialista em proteção de testemunhas suspeita dos seus colegas de trabalho, quando lida com um caso envolvendo armas de alta tecnologia.","['Ação', 'Policial', 'Suspense']",100000000,242295562
1174,101 Dálmatas,101 Dalmatians,1996,103,['Stephen Herek'],"['Dodie Smith', 'John Hughes']","['Glenn Close', 'Jeff Daniels', 'Joely Richardson']",5.7,119000.0,Roger é programador de jogos. Anita é designer de moda. Ambos adoram dálmatas e decidem casar-se. Mas a patroa de Anita também tem uma paixão: peles. E está decidida a usar os dálmatas num monumental casaco.,"['Aventura', 'Comédia', 'Policial', 'Família']",75000000,320689294
1175,Titanic,Titanic,1997,194,['James Cameron'],['James Cameron'],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']",7.9,1300000.0,Uma aristocrata de dezessete anos se apaixona por um artista gentil mas pobre a bordo do luxuoso e desafortunado Titanic.,"['Drama', 'Romance']",200000000,2264750694
1176,Gênio Indomável,Good Will Hunting,1997,126,['Gus Van Sant'],"['Matt Damon', 'Ben Affleck']","['Robin Williams', 'Matt Damon', 'Ben Affleck']",8.3,1100000.0,"Will Hunting, um zelador de uma universidade, tem habilidades para a matemática, mas precisa da ajuda de um psicólogo para encontrar seu propósito.","['Drama', 'Romance']",10000000,225933435
1177,A Vida é Bela,La vita è bella,1997,116,['Roberto Benigni'],"['Vincenzo Cerami', 'Roberto Benigni']","['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",8.6,761000.0,"Quando um bibliotecário judeu e seu filho se tornarem vítimas do Holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.","['Comédia', 'Drama', 'Romance', 'Guerra']",20000000,230099013
1178,Los Angeles: Cidade Proibida,L.A. Confidential,1997,138,['Curtis Hanson'],"['James Ellroy', 'Brian Helgeland', 'Curtis Hanson']","['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']",8.2,631000.0,A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.,"['Policial', 'Drama', 'Mistério', 'Suspense']",35000000,126216940
